success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0    118.600    356.700      0.157           9.575                 1.05         10
      1          0               0     90.000    608.900      0.237          18.326                  1.1         20
      1          0               0    247.100   1638.000      1.000          25.517                 1.18         30
      1          0               0    199.800   1618.400      1.119          33.392                  1.2         40
      1          0               0    251.500   2835.000      1.937          41.083                 1.22         50
      1          0               0    263.800   3594.900      2.658          47.399                 1.27         60
      1          0               0    116.500    368.000      0.159           8.771                 1.14         10
      1          0               0    288.400   1403.600      0.847          17.082                 1.17         20
      1          0               0    266.600   1915.000      1.159          25.375                 1.19         30
      1          0               0    212.500   1767.800      1.273          33.209                 1.21         40
      1          0               0    275.400   1667.800      2.394          38.994                 1.28         50
      0          0               1    107.400   6444.000      1.036          43.345                 1.39         60
      1          0               0    400.200   1289.400      0.570           9.630                 1.04         10
      1          0               0    349.500   1660.600      1.017          18.174                 1.11         20
      1          0               0    230.400   2374.000      1.019          24.909                 1.21         30
      1          0               0    257.300   2481.700      1.627          30.621                 1.31         40
      1          0               0    344.100   3867.300      2.941          37.359                 1.34         50
      1          0               0    246.200   3604.600      2.713          40.891                 1.47         60
      1          0               0    268.700   1028.800      0.369           9.763                 1.03         10
      1          0               0    319.400   1047.400      0.901          18.608                 1.08         20
      1          0               0    265.600   1808.800      1.116          27.279                  1.1         30
      1          0               0    251.800   2359.300      1.601          35.118                 1.15         40
      1          0               0    238.100   2258.500      1.873          39.876                 1.26         50
      1          0               0    378.600   3930.500      3.758          47.801                 1.26         60
      1          0               0    259.100    979.100      0.376           9.728                 1.03         10
      1          0               0    138.200   1037.800      0.407          17.234                 1.17         20
      1          0               0    224.800   1346.800      0.958          25.532                 1.18         30
      1          0               0    221.300   1888.000      1.266          34.019                 1.18         40
      1          0               0    236.900   2204.600      1.809          39.991                 1.25         50
      1          0               0    353.100   3888.300      3.673          43.472                 1.38         60
      1          0               0    193.900    621.700      0.286           8.322                 1.22         10
      1          0               0    198.500    977.100      0.578          15.618                 1.29         20
      1          0               0    224.400   1492.700      0.972          23.602                 1.28         30
      1          0               0    306.400   1744.800      1.735          32.994                 1.22         40
      1          0               0    180.900   1520.300      1.366          38.343                 1.31         50
      1          0               0    264.100   3032.900      3.201          42.396                 1.42         60
      1          0               0    228.600    816.800      0.313           9.871                 1.01         10
      1          0               0    487.900   1700.100      1.374          18.797                 1.06         20
      1          0               0    344.100   1733.300      1.454          26.282                 1.14         30
      1          0               0    121.000    988.700      0.703          35.514                 1.13         40
      1          0               0    214.400   1747.800      1.715          40.020                 1.25         50
      1          0               0    257.500   2948.200      2.925          44.635                 1.35         60
      1          0               0    249.500    796.700      0.346           8.939                 1.12         10
      1          0               0    176.800    934.400      0.497          17.383                 1.15         20
      1          0               0    222.400   1497.300      0.944          23.725                 1.27         30
      1          0               0    164.100   1379.900      0.979          30.712                 1.31         40
      1          0               0    251.400   2479.800      2.039          38.719                 1.29         50
      1          0               0    352.100   2781.800      3.471          45.020                 1.34         60
      1          0               0    137.000    337.400      0.189           9.741                 1.03         10
      1          0               0    103.600    711.800      0.293          18.544                 1.09         20
      1          0               0    181.600   1114.400      0.777          25.766                 1.17         30
      1          0               0    163.600   1522.700      1.032          31.882                 1.26         40
      1          0               0    331.100   2741.300      2.728          37.738                 1.33         50
      1          0               0    306.500   2979.700      3.510          43.486                 1.38         60
      1          0               0    206.800    883.000      0.298           9.434                 1.07         10
      1          0               0    245.800   1018.800      0.701          17.150                 1.17         20
      1          0               0    360.500   2169.700      1.583          25.455                 1.18         30
      1          0               0    333.800   3045.600      1.946          31.715                 1.26         40
      1          0               0    185.500   2274.400      1.556          35.222                 1.42         50
      1          0               0    203.900   2787.500      2.015          43.162                 1.39         60
      1          0               0    354.400   1297.200      0.502           9.651                 1.04         10
      1          0               0    238.000   1480.000      0.689          18.394                  1.1         20
