success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     53.100    190.600      0.066           7.812                 1.31         10
      1          0               0     31.600    165.700      0.088           9.835                 2.06         20
      1          0               0     56.400    375.000      0.297           9.000                 3.39         30
      1          0               0     35.000    255.600      0.300           7.891                 5.17         40
      1          0               0     54.600    497.900      0.896           6.976                 7.39         50
      1          0               0     32.900    390.400      1.397           6.112                 10.2         60
      1          0               0     46.100    199.200      0.060           7.332                 1.47         10
      1          0               0     44.300    231.000      0.124          10.878                 1.88         20
      1          0               0     42.700    237.500      0.193          12.438                 2.54         30
      1          0               0     34.400    279.200      0.283          12.581                 3.31         40
      1          0               0     31.000    326.200      0.411          12.039                 4.37         50
      1          0               0     27.800    333.800      0.488          10.047                 6.63         60
      1          0               0     14.100     69.700      0.020           5.809                 1.73         10
      1          0               0     34.800    257.300      0.136           6.819                 2.98         20
      1          0               0     37.800    272.100      0.243           7.455                 4.08         30
      1          0               0    122.700    930.700      1.551           4.192                 9.78         40
      1          0               0     40.300    424.000      1.009           4.600                 11.4         50
      1          0               0     45.400    503.000      1.989           5.727                 10.6         60
      1          0               0     26.500    128.600      0.043           6.751                 1.54         10
      1          0               0     41.200    218.400      0.123          11.709                 1.72         20
      1          0               0     41.700    254.800      0.197          11.496                 2.66         30
      1          0               0     26.000    238.100      0.205           9.204                 4.44         40
      1          0               0     27.300    248.200      0.530           7.048                 7.44         50
      1          0               0     31.600    369.700      1.021           6.589                 9.57         60
      1          0               0     20.100     87.000      0.030           7.214                  1.4         10
      1          0               0     27.900    148.900      0.080           9.659                 2.09         20
      1          0               0     61.600    463.800      0.313          10.784                  2.8         30
      1          0               0     28.100    212.700      0.249           9.683                 4.17         40
      1          0               0     46.300    503.000      0.684           9.276                 5.51         50
      1          0               0     49.100    795.400      2.003           8.120                 7.67         60
      1          0               0     52.500    194.900      0.072           6.103                 1.68         10
      1          0               0     53.900    276.700      0.148          11.677                 1.76         20
      1          0               0     20.200    157.300      0.114           9.658                 3.15         30
      1          0               0     39.300    246.300      0.369          10.936                 3.71         40
      1          0               0     27.100    244.700      0.489          10.756                 4.92         50
      1          0               0     23.300    313.000      0.811           7.579                 8.11         60
      1          0               0     51.300    202.800      0.072           6.062                 1.67         10
      1          0               0     19.200    162.000      0.055           9.891                 2.05         20
      1          0               0     56.700    346.500      0.281          10.180                 3.01         30
      1          0               0     72.700    531.100      0.683           8.806                 4.67         40
      1          0               0     18.400    297.900      0.486           6.783                 7.83         50
      1          0               0     44.100    520.200      3.139           5.612                 10.9         60
      1          0               0     43.200    110.700      0.097           7.845                 1.29         10
      1          0               0     52.200    247.700      0.256           9.444                 2.16         20
      1          0               0     35.400    297.600      0.340           9.723                 3.14         30
      1          0               0     38.400    302.200      0.567          10.661                 3.83         40
      1          0               0     61.900    488.400      1.827          11.039                 4.63         50
      1          0               0     48.000    422.700      3.119          10.125                 6.03         60
      1          0               0     41.400    196.300      0.103           6.391                 1.59         10
      1          0               0     74.100    232.700      0.374          10.649                 1.91         20
      1          0               0     36.800    184.100      0.312          12.090                 2.54         30
      1          0               0     73.800    291.900      1.325          10.069                 4.03         40
      1          0               0     23.400    266.800      1.235           5.000                 11.1         50
      1          0               0     38.400    323.500      3.073           4.740                 13.1         60
      1          0               0     34.900    170.300      0.051           6.587                 1.55         10
      1          0               0     40.000    137.800      0.110          11.523                 1.76         20
      1          0               0     56.300    383.500      0.270          11.538                 2.66         30
      1          0               0     40.900    328.000      0.293          10.557                 3.82         40
      1          0               0     40.700    491.000      0.590           9.231                  5.5         50
      1          0               0     30.800    454.500      1.135           5.403                 11.4         60
      1          0               0     44.200    141.500      0.061           7.982                 1.28         10
      1          0               0     59.700    214.300      0.168          12.747                 1.63         20
      1          0               0     73.000    476.700      0.339          13.452                  2.3         30
      1          0               0     59.400    628.400      0.560          15.342                 2.67         40
      1          0               0     50.400    786.700      1.114          10.520                 4.82         50
      0          0               0   2000.000 120000.000     53.680          10.967                 5.48         60
      1          0               0     26.200     75.500      0.037           7.282                  1.4         10
      1          0               0     58.000    320.300      0.166          10.483                 1.95         20
      1          0               0     54.600    347.300      0.305          11.815                  2.6         30
      1          0               0     41.100    368.300      0.389          12.280                 3.62         40
