success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     48.100    183.600      0.059           7.085                 1.45         10
      1          0               0     49.700    496.200      0.134           8.125                 2.62         20
      1          0               0     53.100    766.500      0.292           6.456                 5.03         30
      1          0               0     51.200   1034.000      0.505           5.826                 7.93         40
      1          0               0     56.500   1415.100      0.972           6.570                 8.37         50
      1          0               0     65.000   1779.700      2.149           4.686                 14.2         60
      1          0               0     37.900    206.600      0.049           7.398                 1.42         10
      1          0               0     39.500    350.800      0.105          10.094                 2.21         20
      1          0               0     50.100    633.100      0.246          10.429                 3.38         30
      1          0               0     46.200    834.300      0.345          10.405                 4.58         40
      1          0               0    156.600   1691.100      1.728          11.781                 4.67         50
      1          0               0   1045.500   4011.600     16.780          13.660                 4.55         60
      1          0               0     28.100    147.500      0.066           5.018                 2.11         10
      1          0               0     35.500    404.200      0.193           6.045                 3.65         20
      1          0               0     46.200    610.600      0.416           7.470                 4.21         30
      1          0               0     74.200   1262.600      1.043           5.008                 8.72         40
      1          0               0     63.500   1454.600      1.317           4.548                 11.4         50
      1          0               0    189.100   2058.500      5.601           5.794                 10.6         60
      1          0               0     37.000    211.200      0.053           6.759                 1.61         10
      1          0               0     52.800    511.300      0.169           8.867                 2.41         20
      1          0               0     46.200    642.100      0.251           9.346                 3.37         30
      1          0               0    172.800   1373.400      1.416           9.222                 4.45         40
      1          0               0     55.200   1468.500      1.094           6.986                  8.3         50
      1          0               0     74.100   1678.400      2.222           6.661                 9.48         60
      1          0               0     30.800    174.600      0.042           7.497                 1.38         10
      1          0               0     38.400    351.400      0.120           8.695                 2.36         20
      1          0               0     53.300    617.200      0.295          10.373                 2.98         30
      1          0               0     51.600    903.400      0.553           8.820                 4.62         40
      1          0               0     50.200   1229.400      0.973           7.231                 7.24         50
      1          0               0     63.100   1719.100      1.899           7.174                 8.86         60
      1          0               0     37.400    150.600      0.050           6.864                 1.49         10
      1          0               0     46.100    406.300      0.134           9.803                 2.12         20
      1          0               0     42.100    704.300      0.228           8.774                  3.6         30
      1          0               0     51.400   1085.600      0.486           9.589                 4.41         40
      1          0               0     56.200   1501.700      1.022           8.886                 6.26         50
      0          0               0   2000.000 120000.000     37.667           9.913                 6.14         60
      1          0               0     29.200    165.500      0.044           5.257                 2.11         10
      1          0               0     42.300    438.100      0.130           8.258                 2.45         20
      1          0               0     65.100    740.100      0.338           9.842                 3.15         30
      1          0               0     94.800   1466.300      0.904           9.030                 4.68         40
      1          0               0     66.400   1540.500      1.367           6.800                  7.8         50
      1          0               0    288.500   2250.000     10.773           5.903                 10.3         60
      1          0               0     36.200    176.500      0.053           6.682                 1.62         10
      1          0               0     42.000    408.100      0.138           7.310                 3.03         20
      1          0               0     52.200    620.400      0.295           8.510                  3.7         30
      1          0               0     54.900   1009.000      0.566           8.388                 5.12         40
      0          0               0   2000.000 100000.000     27.504          11.914                 4.22         50
      0          0               0   2000.000 120000.000     56.221          10.896                 5.55         60
      1          0               0     40.600    256.100      0.101           6.175                 1.79         10
      1          0               0     43.200    481.400      0.235           9.111                 2.42         20
      1          0               0     47.300    746.300      0.497           9.615                 3.44         30
      1          0               0     45.200   1061.900      0.958           9.044                 4.84         40
      1          0               0     66.900   1597.500      2.654           6.695                 8.27         50
      0          0               0   2000.000 120000.000     83.862           5.054                 12.0         60
      1          0               0     44.100    229.900      0.065           6.522                 1.68         10
      1          0               0     69.800    473.100      0.218           9.474                 2.29         20
      1          0               0     43.000    644.300      0.259           8.330                 4.01         30
      0          0               0   2000.000  80000.000     15.134          11.899                 3.39         40
      1          0               0     48.800   1266.200      1.164           5.947                 9.27         50
      1          0               0     73.900   1960.300      3.148           5.065                 12.9         60
      1          0               0     43.600    176.300      0.064           7.250                 1.44         10
      1          0               0     43.900    392.200      0.139           9.333                 2.45         20
      1          0               0     43.800    568.600      0.266          10.829                 3.42         30
      1          0               0     43.400    951.000      0.484          10.855                 4.68         40
      0          0               0   2000.000 100000.000     31.717          11.907                 4.24         50
      0          0               0   2000.000 120000.000     89.458          10.929                 5.53         60
      1          0               0     34.800    201.200      0.048           6.899                 1.47         10
      1          0               0     38.200    374.500      0.111           8.825                  2.3         20
      1          0               0     54.100    702.600      0.296           9.529                 3.35         30
      1          0               0     59.900   1106.200      0.515          11.025                 4.09         40
