success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     32.100    157.900      0.036           8.754                 1.17         10
      1          0               0     47.900    320.600      0.112          14.839                 1.36         20
      1          0               0     70.400    548.400      0.265          21.027                 1.45         30
      1          0               0     50.100    381.600      0.257          26.902                  1.5         40
      1          0               0     88.700    772.200      0.595          30.986                 1.62         50
      1          0               0     80.700    824.600      0.748          31.193                 1.93         60
      1          0               0     42.400    141.000      0.048           8.578                 1.18         10
      1          0               0     45.300    291.900      0.104          15.479                  1.3         20
      1          0               0     70.600    532.700      0.263          21.289                 1.42         30
      1          0               0     49.900    467.400      0.261          25.521                 1.58         40
      1          0               0     63.700    665.500      0.454          28.571                 1.76         50
      1          0               0     77.800    603.000      0.690          31.983                 1.89         60
      1          0               0     52.300    187.000      0.057           8.451                 1.19         10
      1          0               0     41.000    297.100      0.102          14.056                 1.45         20
      1          0               0     57.900    430.900      0.234          19.705                 1.53         30
      1          0               0     54.000    464.400      0.303          24.070                 1.68         40
      1          0               0     46.400    497.700      0.332          27.041                 1.87         50
      1          0               0     53.900    704.300      0.489          31.991                  1.9         60
      1          0               0     56.300    187.400      0.065           9.369                 1.07         10
      1          0               0     55.500    277.100      0.134          16.923                 1.19         20
      1          0               0     63.200    410.400      0.222          25.095                  1.2         30
      1          0               0     76.400    542.900      0.391          29.285                 1.38         40
      1          0               0     71.400    874.200      0.518          30.899                 1.63         50
      1          0               0     85.600    797.500      0.752          34.242                 1.78         60
      1          0               0     61.900    199.800      0.069           8.499                 1.19         10
      1          0               0     37.700    250.300      0.098          13.520                  1.5         20
      1          0               0     64.700    558.900      0.292          16.892                  1.8         30
      1          0               0     43.900    520.400      0.307          16.688                 2.45         40
      1          0               0     48.300    687.000      0.494          17.669                 2.88         50
      1          0               0     37.400    702.500      0.517          22.019                 2.77         60
      1          0               0     28.800    107.200      0.052           9.080                 1.11         10
      1          0               0     55.700    288.000      0.133          16.314                 1.23         20
      1          0               0     61.500    297.900      0.226          23.341                  1.3         30
      1          0               0     69.100    424.800      0.410          23.922                 1.68         40
      1          0               0     59.200    501.700      0.465          25.061                  2.0         50
      1          0               0     41.500    514.800      0.414          28.973                 2.08         60
      1          0               0     40.900    170.500      0.047           8.780                 1.16         10
      1          0               0     72.500    343.800      0.178          16.072                 1.25         20
      1          0               0     71.900    306.500      0.258          23.064                  1.3         30
