success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     33.400    155.500      0.042           8.811                 1.16         10
      1          0               0     49.000    246.200      0.123          14.608                 1.38         20
      1          0               0     77.400    481.300      0.314          21.491                 1.42         30
      1          0               0     34.900    399.100      0.205          26.069                 1.55         40
      1          0               0     94.500    846.600      0.706          31.138                 1.61         50
      1          0               0     50.900    516.700      0.486          31.234                 1.93         60
      1          0               0     42.400    141.800      0.052           8.616                 1.17         10
      1          0               0     38.900    223.200      0.093          15.699                 1.28         20
      1          0               0     74.700    545.500      0.306          21.124                 1.43         30
      1          0               0     44.600    412.900      0.332          25.323                 1.59         40
      1          0               0     70.600    658.200      0.499          28.643                 1.75         50
      1          0               0     83.800    705.200      0.770          31.189                 1.94         60
      1          0               0     54.200    191.500      0.065           8.432                  1.2         10
      1          0               0     41.000    288.400      0.113          14.149                 1.45         20
      1          0               0     65.700    351.700      0.266          20.542                 1.47         30
      1          0               0     55.300    435.000      0.333          24.121                 1.68         40
      1          0               0     65.600    566.200      0.512          27.236                 1.85         50
      1          0               0     54.800    651.500      0.552          31.701                 1.92         60
      1          0               0     59.000    116.000      0.073           9.353                 1.08         10
      1          0               0     56.600    257.300      0.140          16.912                 1.19         20
      1          0               0     75.200    345.700      0.278          25.407                 1.19         30
      1          0               0     79.500    601.300      0.433          29.335                 1.38         40
      1          0               0     81.300    533.700      0.628          31.031                 1.62         50
      1          0               0     98.600    668.300      0.955          34.519                 1.76         60
      1          0               0     54.200    196.000      0.063           8.548                 1.18         10
      1          0               0     36.300    233.300      0.097          13.477                  1.5         20
      1          0               0     49.900    402.300      0.238          16.473                 1.85         30
      1          0               0     41.600    476.900      0.333          16.260                 2.52         40
      1          0               0     48.000    644.200      0.589          17.535                 2.91         50
      1          0               0     39.400    653.700      0.599          21.916                 2.78         60
      1          0               0     31.400    134.100      0.064           8.965                 1.13         10
      1          0               0     57.500    292.100      0.244          16.348                 1.23         20
      1          0               0     36.400    306.600      0.259          21.283                 1.43         30
      1          0               0     71.100    433.500      0.765          23.930                 1.68         40
      1          0               0     57.900    573.700      0.570          24.283                 2.07         50
      1          0               0     49.300    476.100      0.523          29.079                 2.08         60
      1          0               0     44.000    176.300      0.057           8.777                 1.16         10
      1          0               0     74.100    355.400      0.196          16.188                 1.24         20
      1          0               0     73.300    333.700      0.289          23.010                 1.31         30
      1          0               0     72.900    497.600      0.403          27.095                 1.48         40
      1          0               0     63.100    810.200      0.583          26.842                 1.89         50
      1          0               0     76.100    941.000      0.958          26.791                 2.26         60
      1          0               0     56.000    119.600      0.117           9.046                 1.12         10
      1          0               0     62.000    248.000      0.261          17.606                 1.14         20
      1          0               0     45.800    253.100      0.306          22.841                 1.33         30
      1          0               0     39.500    335.300      0.378          24.823                 1.63         40
      1          0               0     59.000    429.000      0.772          26.788                 1.88         50
      1          0               0     44.300    754.300      0.966          26.032                 2.33         60
      1          0               0     50.600    170.600      0.063           8.759                 1.16         10
      1          0               0     55.200    242.900      0.140          17.750                 1.13         20
      1          0               0     39.300    303.900      0.153          22.242                 1.36         30
      1          0               0     25.400    300.000      0.145          25.181                  1.6         40
      1          0               0     54.800    420.500      0.414          27.918                  1.8         50
      1          0               0     84.900    613.600      0.902          25.682                 2.34         60
      1          0               0     62.100    191.000      0.074           8.768                 1.17         10
      1          0               0     63.900    396.100      0.181          15.435                 1.34         20
      1          0               0     41.100    361.300      0.163          22.423                 1.36         30
      1          0               0     73.200    611.000      0.407          27.497                 1.49         40
      1          0               0     75.400    630.300      0.563          29.840                  1.7         50
      1          0               0     77.400    728.500      0.742          31.773                  1.9         60
      1          0               0     64.300    185.600      0.109           9.059                 1.11         10
      1          0               0     49.500    183.200      0.182          16.531                 1.22         20
      1          0               0     66.500    333.800      0.288          22.758                 1.33         30
      1          0               0     50.600    439.900      0.564          23.138                 1.76         40
      1          0               0     53.000    540.800      1.148          26.432                 1.92         50
      1          0               0     46.300    451.100      0.960          26.911                 2.25         60
      1          0               0     58.700    188.200      0.069           9.191                  1.1         10
      1          0               0     44.300    300.400      0.123          13.567                 1.51         20
      1          0               0     50.900    397.100      0.211          18.745                 1.64         30
      1          0               0     71.500    578.200      0.451          23.277                 1.75         40
