success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     24.400    145.100      0.028           9.578                 1.05         10
      1          0               0     24.400    284.000      0.058          15.660                  1.3         20
      1          0               0     24.400    417.300      0.098          19.885                 1.55         30
      1          0               0     24.300    517.700      0.143          23.255                 1.76         40
      1          0               0     27.500    672.200      0.242          24.451                 2.12         50
      1          0               0     33.200    850.100      0.422          26.253                 2.39         60
      1          0               0     35.300    169.300      0.043           8.159                 1.24         10
      1          0               0     35.500    367.400      0.092          14.431                 1.39         20
      1          0               0     35.500    555.600      0.147          19.149                 1.58         30
      1          0               0     35.600    699.600      0.221          21.829                 1.86         40
      1          0               0     35.600    858.200      0.311          23.486                 2.18         50
      1          0               0     35.600   1055.500      0.519          24.340                 2.58         60
      1          0               0     31.000    177.700      0.038           8.235                 1.22         10
      1          0               0     40.500    381.800      0.108          13.805                 1.48         20
      1          0               0     40.500    572.700      0.187          17.509                 1.75         30
      1          0               0     40.600    751.200      0.317          20.034                 2.11         40
      1          0               0     40.500    995.100      0.485          20.598                  2.6         50
      1          0               0     40.700   1207.600      0.684          21.646                 3.05         60
      1          0               0     18.200    113.700      0.036           9.313                 1.08         10
      1          0               0     25.500    272.200      0.103          15.769                 1.29         20
      1          0               0     32.700    448.200      0.212          21.933                 1.42         30
      1          0               0     32.700    676.100      0.321          23.327                 1.76         40
      1          0               0     34.600    809.600      0.417          25.552                 2.06         50
      1          0               0     35.900   1019.600      0.503          25.855                 2.49         60
      1          0               0     28.700    182.300      0.059           9.206                 1.09         10
      1          0               0     28.700    330.000      0.124          14.557                 1.38         20
      1          0               0     28.700    509.200      0.201          18.000                  1.7         30
      1          0               0     32.200    725.000      0.372          17.550                 2.35         40
      1          0               0     32.600    975.200      0.593          17.623                 2.94         50
      1          0               0     36.700   1205.900      0.925          20.327                 3.08         60
      1          0               0     35.400    215.400      0.042           8.421                  1.2         10
      1          0               0     35.400    359.300      0.090          14.212                 1.44         20
      1          0               0     35.400    503.600      0.149          19.257                 1.63         30
      1          0               0     35.400    695.100      0.241          20.017                 2.07         40
      1          0               0     35.400    903.400      0.419          20.421                 2.54         50
      1          0               0     35.500   1060.300      0.642          21.462                 2.95         60
      1          0               0     39.500    235.100      0.047           9.119                  1.1         10
      1          0               0     40.100    411.700      0.105          14.608                  1.4         20
      1          0               0     41.200    624.000      0.180          19.250                 1.61         30
      1          0               0     40.100    775.200      0.255          22.579                 1.83         40
      1          0               0     40.100    965.400      0.388          23.471                 2.25         50
      1          0               0     41.200   1141.100      0.635          22.915                 2.81         60
      1          0               0     25.900    131.000      0.053           8.958                 1.13         10
      1          0               0     29.100    264.500      0.119          16.918                 1.19         20
      1          0               0     29.900    447.700      0.204          20.030                 1.53         30
      1          0               0     29.900    628.400      0.300          21.013                 1.96         40
      1          0               0     31.700    814.600      0.475          22.691                 2.27         50
      1          0               0     31.800    963.600      0.741          22.862                 2.73         60
      1          0               0     35.500    183.600      0.046           9.115                 1.12         10
      1          0               0     35.500    368.900      0.090          16.406                 1.27         20
      1          0               0     35.800    550.400      0.158          19.313                 1.63         30
      1          0               0     35.800    755.000      0.246          21.483                 1.95         40
      1          0               0     36.000    920.700      0.363          22.386                 2.36         50
      1          0               0     36.100   1105.500      0.637          20.366                 3.09         60
      1          0               0     31.400    199.100      0.067           8.618                 1.18         10
      1          0               0     31.800    367.100      0.148          14.506                 1.42         20
      1          0               0     37.800    585.300      0.292          19.545                 1.66         30
      1          0               0     37.800    766.200      0.480          21.651                  2.0         40
      1          0               0     37.800    970.500      0.794          21.601                  2.6         50
      1          0               0     37.800   1175.100      1.303          20.217                 3.58         60
      1          0               0     29.900    179.400     11.923           8.375                  1.2         10
      1          0               0     38.300    417.800      0.304          14.201                 1.47         20
      1          0               0     38.300    609.900      0.293          19.799                 1.56         30
      1          0               0     38.300    799.100      0.469          20.580                  2.0         40
      1          0               0     38.300    975.400      0.656          23.303                  2.2         50
      1          0               0     38.500   1155.900      0.976          23.426                 2.69         60
      1          0               0     31.300    196.400      0.036           8.895                 1.15         10
      1          0               0     31.300    381.600      0.084          13.086                 1.55         20
      1          0               0     33.200    613.500      0.150          17.337                 1.78         30
      1          0               0     38.000    799.600      0.286          19.584                  2.1         40
