success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     97.500    252.400      0.187           6.785                 1.53         10
      1          0               0    105.000    473.100      0.743           7.532                 2.71         20
      1          0               0     39.100    356.600      3.015           3.890                 8.77         30
      1          0               0     37.700    530.900     13.600           2.737                 15.3         40
      1          0               0     40.500    642.700     44.649           2.146                 26.9         50
      1          0               0     29.000    570.900     60.996           2.193                 31.5         60
      1          0               0     71.600    301.100      0.139           6.493                 1.58         10
      1          0               0     99.000    703.100      1.596           4.157                 5.52         20
      1          0               0     40.000    264.100      2.301           4.780                 6.36         30
      1          0               0     47.700    466.000      9.252           5.256                 8.29         40
      1          0               0     42.800    409.700     41.366           3.423                 15.2         50
      1          0               0     35.300    435.100     62.489           3.402                 19.2         60
      1          0               0     44.700    191.700      0.098           6.060                 1.68         10
      1          0               0     35.900    243.700      0.287           8.189                 2.49         20
      1          0               0     65.100    368.900      1.607           7.803                 3.94         30
      1          0               0     61.700    587.800      7.272           6.241                  6.8         40
      1          0               0     49.200    589.100     21.109           4.321                 12.5         50
      1          0               0     28.200    480.600     46.172           2.025                 33.2         60
      1          0               0     73.200    286.800      0.150           6.536                  1.6         10
      1          0               0     70.700    324.000      0.394           8.563                 2.36         20
      1          0               0     60.700    630.800      2.117           7.778                 4.02         30
      1          0               0     62.300    865.700     15.606           5.088                 8.26         40
      1          0               0     53.900    914.000     44.989           3.764                 14.1         50
      1          0               0     44.400    819.700     85.717           2.818                 23.9         60
      1          0               0    115.300    297.600      0.261           5.570                 1.82         10
      1          0               0     48.300    341.100      0.504           8.393                  2.4         20
      1          0               0     46.700    455.400      3.401           6.445                  4.8         30
      1          0               0     31.100    452.600      9.516           3.601                 15.8         40
      1          0               0     39.300    528.700     35.998           1.987                 30.9         50
      1          0               0     36.400    629.100     76.084           1.379                 51.4         60
      1          0               0     91.200    266.000      0.166           7.226                 1.41         10
      1          0               0     76.700    306.100      1.433           5.305                 3.89         20
      1          0               0     80.700    414.600      6.866           3.786                 8.32         30
      1          0               0     47.100    438.500      9.345           3.310                 14.6         40
      1          0               0     29.300    431.700     28.885           1.437                 40.0         50
      1          0               0     32.200    466.200     65.436           1.283                 51.5         60
      1          0               0     41.200    147.500      0.081           6.561                 1.56         10
      1          0               0     66.400    266.800      0.503           7.294                 2.86         20
      1          0               0     62.900    489.000      3.774           4.262                 7.38         30
      1          0               0     67.100    605.500     18.303           3.174                 15.4         40
      1          0               0     43.800    559.900     43.594           1.680                 35.8         50
      1          0               0     61.000    799.200    124.605           1.633                 47.1         60
      1          0               0     99.000    465.000      0.197           6.056                 1.68         10
      1          0               0     89.000    740.100      0.541           8.975                 2.24         20
      1          0               0     77.000   1037.800      2.714           5.879                 5.24         30
      1          0               0     66.400    749.200      6.069           4.607                 8.95         40
      1          0               0     70.300    771.200     25.674           3.437                 15.3         50
      1          0               0     44.000    810.700     81.595           1.786                 38.6         60
      1          0               0    125.900    357.300      0.281           5.759                 1.77         10
      1          0               0     81.300    370.300      0.785           4.422                 4.81         20
      1          0               0     60.900    541.700      6.344           2.787                 11.7         30
      1          0               0     67.000    461.400     25.466           2.682                 16.8         40
      1          0               0     57.800    635.000     58.365           1.889                 30.5         50
      1          0               0     23.900    446.800     41.787           2.113                 31.7         60
      1          0               0     34.300    160.500      0.070           6.458                 1.57         10
      1          0               0     68.800    304.600      0.543           5.953                 3.51         20
      1          0               0     65.100    520.200      4.474           3.963                 8.84         30
      1          0               0     58.500    573.400     23.708           3.472                 12.7         40
      1          0               0     57.400    689.600     53.244           2.409                 22.5         50
      1          0               0     35.500    643.300     72.295           1.335                 51.4         60
      1          0               0     76.100    313.900      0.161           5.074                 2.04         10
      1          0               0     66.700    401.300      0.651           5.261                 3.87         20
      1          0               0     55.300    345.400      2.049           5.420                 5.75         30
      1          0               0     54.400    800.200      8.599           4.366                 10.1         40
      1          0               0     40.700    825.900     29.329           3.187                 20.3         50
      1          0               0     39.000    758.300     79.014           1.159                 55.2         60
      1          0               0     72.400    271.100      0.154           4.999                 2.11         10
      1          0               0     75.700    400.900      0.876           6.732                  3.0         20
      1          0               0     57.900    548.800      2.543           6.230                 4.93         30
      1          0               0     58.000    628.900      7.260           5.334                 7.69         40
      1          0               0     60.100    887.100     42.199           3.176                 16.3         50
      1          0               0     64.800   1091.400     97.515           2.682                 23.9         60
      1          0               0     71.900    205.900      0.170           5.235                 1.98         10
      1          0               0     39.300    207.000      0.288           7.387                 2.74         20
      1          0               0     55.700    331.700      1.806           6.048                 5.28         30
