success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0    174.300    487.100      0.225           8.017                 1.27         10
      1          0               0    286.400   1045.600      0.753          17.674                 1.14         20
      1          0               0    210.600   1238.600      0.867          22.343                 1.35         30
      1          0               0    180.200   1469.800      1.064          25.092                  1.6         40
      1          0               0    275.100   2074.700      2.434          29.372                 1.71         50
      1          0               0    114.600   1571.000      1.547          26.659                 2.27         60
      1          0               0    127.400    505.000      0.161           9.160                  1.1         10
      1          0               0    222.800    874.700      0.593          13.241                 1.52         20
      1          0               0    114.800    436.500      0.462          19.527                 1.54         30
      1          0               0    117.000   1000.400      0.787          20.322                 1.98         40
      1          0               0    175.100   1045.100      1.629          23.567                 2.13         50
      1          0               0    211.000   2061.000      3.077          25.009                 2.41         60
      1          0               0     62.800    253.400      0.081           9.030                 1.12         10
      1          0               0     91.800    398.800      0.241          16.498                 1.23         20
      1          0               0    132.900    709.200      0.536          20.549                 1.47         30
      1          0               0    114.000    950.400      0.693          23.409                 1.71         40
      1          0               0    217.000   2776.200      1.878          23.305                 2.15         50
      1          0               0    148.700   1894.700      1.830          23.405                 2.57         60
      1          0               0    202.600    526.100      0.262           8.408                  1.2         10
      1          0               0    151.000    568.100      0.397          15.713                 1.28         20
      1          0               0    192.200   1278.200      0.790          22.252                 1.36         30
      1          0               0    174.900   2030.900      1.025          24.791                 1.62         40
      1          0               0    146.500   2548.300      1.285          25.668                 1.95         50
      1          0               0    147.500   2069.700      1.756          28.337                 2.12         60
      1          0               0    179.600    432.400      0.226           8.800                 1.14         10
      1          0               0     88.000    607.000      0.232          16.385                 1.23         20
      1          0               0     90.100    902.000      0.368          20.911                 1.46         30
      1          0               0     84.800   1076.200      0.485          24.285                 1.66         40
      1          0               0     67.600    816.600      0.552          26.926                 1.87         50
      1          0               0    128.200   1646.100      1.454          27.541                 2.19         60
      1          0               0     83.000    264.100      0.111           8.165                 1.24         10
      1          0               0    207.600    733.000      0.571          15.066                 1.33         20
      1          0               0    191.100    804.200      0.872          20.083                  1.5         30
      1          0               0     95.100    930.400      0.650          25.006                 1.61         40
      1          0               0    129.100   1325.900      1.218          24.924                 2.02         50
      1          0               0    129.100   1369.600      1.546          27.081                 2.24         60
      1          0               0     53.900    207.500      0.069           8.839                 1.14         10
      1          0               0    115.600    577.900      0.314          16.019                 1.25         20
      1          0               0    147.900    985.100      0.598          22.569                 1.34         30
      1          0               0    105.200   1285.400      0.658          23.971                 1.68         40
      1          0               0    132.900   1401.900      1.336          27.733                 1.81         50
      1          0               0    122.100   1601.800      1.669          26.695                 2.26         60
      1          0               0    151.600    900.200      0.203           8.717                 1.16         10
      1          0               0    134.400   1121.400      0.365          16.711                  1.2         20
      1          0               0    176.700   1464.100      0.776          18.998                 1.59         30
      1          0               0    138.400   1422.900      0.905          23.264                 1.73         40
      1          0               0    131.100   1689.200      1.356          26.703                 1.88         50
      1          0               0    415.400   4293.700      4.744          31.173                 1.94         60
      1          0               0    184.700    757.900      0.251           8.364                  1.2         10
      1          0               0    101.900    562.500      0.284          15.422                 1.31         20
      1          0               0    159.400   1198.000      0.675          21.446                  1.4         30
      1          0               0    196.100   1553.200      1.223          26.792                 1.51         40
      1          0               0    222.900   2317.300      2.175          29.494                  1.7         50
      1          0               0    182.200   2019.600      2.327          31.970                 1.89         60
      1          0               0     67.000    215.000      0.089           8.990                 1.12         10
      1          0               0    196.200    895.500      0.549          16.002                 1.26         20
      1          0               0    144.100   1064.100      0.635          21.455                 1.41         30
      1          0               0    174.100   1358.100      1.086          24.518                 1.64         40
      1          0               0    136.900   1316.800      1.338          22.543                 2.23         50
      1          0               0     80.600   1376.800      1.155          24.795                 2.43         60
      1          0               0    164.800    627.500      0.216           9.410                 1.07         10
      1          0               0    182.600    726.900      0.512          15.010                 1.34         20
      1          0               0    205.000   1194.000      1.402          18.972                 1.59         30
      1          0               0    281.900   2099.400      2.984          22.509                 1.79         40
      1          0               0    242.700   2863.000      2.803          26.846                 1.88         50
      1          0               0    216.500   3274.800      3.240          27.856                 2.17         60
      1          0               0    149.100    499.100      0.202           6.705                 1.51         10
      1          0               0    124.900    916.300      0.357          12.460                 1.62         20
      1          0               0     85.800    827.300      0.465          15.277                 1.98         30
      1          0               0    121.100   1343.200      0.817          19.560                 2.06         40
      1          0               0    103.700   1390.800      1.061          21.478                 2.34         50
      1          0               0    135.300   2241.200      2.148          20.951                 2.89         60
      1          0               0    102.000    275.000      0.132           9.208                 1.09         10
      1          0               0     57.600    251.200      0.154          15.462                  1.3         20
      1          0               0     96.700    555.300      0.431          19.286                 1.57         30
      1          0               0     67.900    571.300      0.452          22.984                 1.75         40
      1          0               0     67.500    764.200      0.629          27.579                 1.82         50
      1          0               0    120.700   1110.000      1.839          26.680                 2.26         60
      1          0               0    118.100    355.400      0.155           9.309                 1.08         10
      1          0               0    212.200    935.400      0.626          16.050                 1.25         20
      1          0               0    172.000   1168.200      0.741          19.780                 1.52         30
      1          0               0    159.900   1847.400      1.046          22.501                 1.78         40
      1          0               0    200.000   2214.800      1.823          24.774                 2.03         50
      1          0               0    166.400   2681.300      1.925          26.757                 2.25         60
      1          0               0    201.000    696.600      0.268           8.499                 1.19         10
      1          0               0    182.700    722.200      0.511          16.280                 1.24         20
      1          0               0    175.200    883.200      0.717          22.947                 1.32         30
      1          0               0    177.700   1216.000      1.027          28.505                 1.41         40
      1          0               0    115.300   1102.500      0.973          28.185                 1.78         50
      1          0               0    196.700   1965.500      2.086          31.138                 1.93         60
      1          0               0    137.300    448.300      0.179           9.316                 1.08         10
      1          0               0    124.300    434.600      0.336          17.396                 1.16         20
      1          0               0     74.400    682.900      0.325          19.715                 1.53         30
      1          0               0    129.800   1101.500      0.824          24.626                 1.64         40
      1          0               0    215.100   2050.600      2.018          26.820                 1.87         50
      1          0               0    189.100   2317.500      2.244          29.778                 2.03         60
      1          0               0     94.900    380.300      0.127           8.112                 1.25         10
      1          0               0    144.400    995.800      0.408          14.524                 1.38         20
      1          0               0    282.900   1781.800      1.195          20.334                 1.48         30
      1          0               0    133.600   1319.800      0.775          26.255                 1.53         40
      1          0               0    187.200   1502.100      1.467          30.069                 1.67         50
      1          0               0    183.700   1599.100      1.931          32.184                 1.87         60
      1          0               0    153.900    495.200      0.206           7.426                 1.36         10
      1          0               0    200.500   1253.800      0.560          14.965                 1.35         20
      1          0               0    101.100    748.100      0.419          21.535                  1.4         30
