success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0    101.400    315.700      0.910           7.930                 1.29         10
      1          0               0    266.600   1141.400      4.519          17.888                 1.13         20
      1          0               0    122.200    999.900      3.594          22.417                 1.35         30
      1          0               0    194.200   1949.200      9.492          25.394                 1.58         40
      1          0               0    208.800   1836.300     15.195          29.283                 1.72         50
      1          0               0    123.000   1535.500     19.481          26.901                 2.25         60
      1          0               0    122.100    492.800      1.013           8.989                 1.12         10
      1          0               0    184.200    769.400      3.651          13.317                 1.51         20
      1          0               0     98.700    468.000      3.217          19.421                 1.55         30
      1          0               0    847.500   5330.500     55.059          19.380                 2.07         40
      1          0               0     78.100    796.900      9.318          22.752                  2.2         50
      1          0               0    184.700   2065.200     37.945          24.881                 2.42         60
      1          0               0     71.700    245.700      0.633           8.544                 1.19         10
      1          0               0     75.900    401.400      1.460          15.850                 1.28         20
      1          0               0    142.800    753.400      5.033          20.064                 1.51         30
      1          0               0    108.000    933.600      6.411          23.175                 1.74         40
      1          0               0    183.300   2712.800     15.987          23.151                 2.17         50
      1          0               0    141.500   1728.100     22.608          22.634                 2.66         60
      1          0               0    191.100    464.600      1.693           8.461                  1.2         10
      1          0               0    133.900    617.400      2.521          15.619                 1.29         20
      1          0               0    171.900   1368.100      5.928          21.915                 1.39         30
      1          0               0    157.400   1923.400      8.986          24.548                 1.64         40
      1          0               0    167.600   2663.200     17.213          25.499                 1.97         50
      1          0               0    156.800   2250.700     21.152          28.154                 2.14         60
      1          0               0     27.200    140.700      0.228           8.614                 1.17         10
      1          0               0     85.300    595.900      1.578          15.860                 1.27         20
      1          0               0     88.300    936.000      2.784          21.026                 1.45         30
      1          0               0     98.300   1216.000      4.694          24.658                 1.63         40
      1          0               0    104.200    895.000      7.854          28.044                 1.79         50
      1          0               0    122.800   1960.000     13.805          28.377                 2.12         60
      1          0               0     66.000    237.200      0.589           8.241                 1.22         10
      1          0               0    168.200    773.400      3.279          14.819                 1.36         20
      1          0               0    150.600    690.000      5.571          19.677                 1.53         30
      1          0               0    147.600   1051.100      9.042          25.200                  1.6         40
      1          0               0    145.100   1491.400     12.506          25.895                 1.95         50
      1          0               0    119.700   1333.300     16.212          27.069                 2.24         60
      1          0               0     51.100    189.800      0.445           8.971                 1.13         10
      1          0               0    112.800    407.200      2.065          16.201                 1.24         20
      1          0               0    139.900    884.400      4.191          22.206                 1.36         30
      1          0               0    115.500   1198.300      5.851          24.715                 1.63         40
      1          0               0    126.300   1283.500     11.245          27.325                 1.84         50
      1          0               0     97.900   1545.600     18.053          26.557                 2.28         60
      1          0               0    147.900    649.700      1.331           9.182                  1.1         10
      1          0               0    134.000   1101.300      2.576          16.496                 1.22         20
      1          0               0    140.000   1393.500      4.917          18.766                 1.61         30
      1          0               0    145.200   1237.400      8.206          23.530                 1.72         40
      1          0               0    222.100   2200.700     16.175          27.323                 1.85         50
      1          0               0    132.700   1989.100     18.293          28.233                 2.15         60
      1          0               0    153.400    520.000      1.331           8.209                 1.23         10
      1          0               0    175.900    628.400      3.223          15.869                 1.27         20
