success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     74.000    299.100      0.086           7.895                 1.29         10
      0          0               0   2000.000  40000.000      4.388          15.988                 1.25         20
      0          0               0   2000.000  60000.000      6.654          22.612                 1.33         30
      0          0               0   2000.000  80000.000      9.571          23.346                 1.72         40
      0          0               0   2000.000 100000.000     13.149          27.485                 1.84         50
      0          0               1     77.900   4674.000      0.977          18.252                 3.42         60
      1          0               0    308.800   1727.100      0.408           6.079                 1.75         10
      1          0               0    419.900   3836.300      1.088           9.258                 2.22         20
      1          0               0    627.400   9834.800      3.058          13.480                 2.28         30
      0          0               1     69.400   2776.000      0.428          15.193                 2.67         40
      1          0               0    983.300  18045.200      8.151          20.748                 2.43         50
      0          0               1    115.000   6900.000      1.757          19.729                 3.16         60
      1          0               0    172.200    611.000      0.209           8.866                 1.14         10
      0          0               1     67.500   1350.000      0.167          12.766                 1.62         20
      0          0               1     61.400   1842.000      0.237          15.769                 1.94         30
      0          0               0   2000.000  80000.000     13.855          21.972                 1.85         40
      0          0               0   2000.000 100000.000     13.949          21.472                 2.35         50
      0          0               0   2000.000 120000.000     32.627          22.744                 2.66         60
      0          0               0   2000.000  20000.000      2.503           7.009                 1.43         10
      1          0               0    160.600   1334.900      0.390          13.681                 1.52         20
      1          0               0    388.100   3996.500      1.549          21.050                 1.47         30
      0          0               0   2000.000  80000.000     11.260          23.141                 1.74         40
      0          0               0   2000.000 100000.000     18.985          22.196                 2.27         50
      0          0               0   2000.000 120000.000     28.636          27.258                 2.22         60
      1          0               0     77.900    386.900      0.101           8.082                 1.27         10
      1          0               0    103.900   1045.500      0.257          13.131                 1.61         20
      0          0               0   2000.000  60000.000      7.059          20.816                 1.45         30
      1          0               0    119.100   1968.600      0.662          21.013                 2.01         40
      0          0               1     45.100   2255.000      0.436          14.523                 3.56         50
      0          0               1     42.300   2538.000      0.493          16.395                 3.78         60
      1          0               0    244.300   1010.500      0.301           8.368                 1.22         10
      1          0               0   1100.200  10351.500      3.027          10.897                  1.9         20
      1          0               0    459.500   5790.900      2.006          15.461                 1.99         30
      1          0               0    218.800   3294.000      1.323          19.530                 2.24         40
      1          0               0    156.700   3792.300      1.452          19.921                 2.76         50
      0          0               0   2000.000 120000.000     19.403          25.401                  2.4         60
      1          0               0     67.500    370.200      0.081           8.582                 1.18         10
      1          0               0     72.400    692.400      0.170          14.691                  1.4         20
      0          0               1     56.100   1683.000      0.223          15.569                 2.03         30
      1          0               0     83.700   1604.200      0.467          20.094                 2.12         40
      1          0               0     83.700   2163.000      0.742          20.663                 2.72         50
      1          0               0     95.800   2847.400      1.174          21.507                  3.2         60
      1          0               0     91.000    453.000      0.116           7.892                 1.33         10
      1          0               0     97.900    986.300      0.240          15.018                 1.38         20
      0          0               0   2000.000  60000.000      8.076          20.865                 1.44         30
      0          0               0   2000.000  80000.000      9.793          25.590                 1.58         40
      0          0               0   2000.000 100000.000     25.064          29.515                 1.71         50
      0          0               0   2000.000 120000.000     18.197          31.447                 1.93         60
      1          0               0     86.000    514.900      0.106           7.979                 1.28         10
      1          0               0    520.500   2611.500      1.227          14.884                 1.36         20
      1          0               0    106.900   1573.400      0.419          18.544                 1.72         30
