success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     83.100    243.100      0.115           8.215                 1.24         10
      1          0               0     83.600    577.600      0.239          15.843                 1.27         20
      1          0               0    115.800    754.400      0.552          21.415                 1.42         30
      1          0               0     68.000    739.700      0.535          23.963                 1.68         40
      1          0               0     55.700    737.200      0.702          24.275                 2.08         50
      1          0               0     65.500    763.500      1.150          25.275                 2.39         60
      1          0               0     66.900    314.500      0.110           8.507                  1.2         10
      1          0               0     96.500    430.800      0.316          13.839                 1.45         20
      1          0               0     39.700    405.900      0.201          17.199                 1.76         30
      1          0               0     78.800    743.400      0.638          22.137                 1.82         40
      1          0               0     62.000    771.100      0.709          23.747                 2.12         50
      1          0               0     73.300    983.700      1.392          24.671                 2.46         60
      1          0               0     38.000    162.400      0.054           8.658                 1.16         10
      1          0               0     90.100    290.100      0.254          15.950                 1.26         20
      1          0               0     89.500    544.400      0.414          18.637                 1.61         30
      1          0               0     99.100    712.200      0.640          23.315                 1.72         40
      1          0               0     80.100    661.900      0.833          23.126                 2.18         50
      1          0               0     69.900    797.200      1.143          24.788                 2.44         60
      1          0               0     55.500    217.000      0.075           8.452                 1.19         10
      1          0               0    101.100    368.400      0.304          13.307                 1.52         20
      1          0               0    104.300    538.600      0.501          17.325                 1.74         30
      1          0               0    113.100    717.200      0.992          19.034                 2.12         40
      1          0               0     41.800    532.000      0.421          23.337                 2.16         50
      1          0               0     93.200    837.400      1.285          26.159                  2.3         60
      1          0               0    129.700    397.400      0.186           9.195                  1.1         10
      1          0               0    116.700    408.400      0.345          15.364                 1.32         20
      1          0               0     95.600    578.300      0.470          20.444                 1.48         30
      1          0               0    107.500    881.600      0.817          22.335                 1.82         40
      1          0               0     83.200   1213.200      0.933          23.583                 2.15         50
      1          0               0     87.900   1164.200      1.539          23.899                 2.54         60
      1          0               0     47.500    161.200      0.070           9.221                 1.09         10
      1          0               0     78.900    443.500      0.233          17.112                 1.17         20
      1          0               0    128.500    658.700      0.596          22.340                 1.35         30
      1          0               0     75.400    515.300      0.514          24.219                 1.66         40
      1          0               0    116.000   1409.200      1.427          24.454                 2.05         50
      1          0               0    116.000   1220.400      1.907          24.378                 2.47         60
      1          0               0     93.100    322.700      0.138           9.139                  1.1         10
      1          0               0     51.400    289.000      0.162          14.576                 1.39         20
      1          0               0     95.300    506.900      0.461          19.075                 1.58         30
      1          0               0     58.500    616.500      0.463          22.651                 1.78         40
      1          0               0    140.500   1061.700      1.687          27.078                 1.85         50
      1          0               0     57.000    800.500      1.075          26.896                 2.24         60
      1          0               0     68.400    155.900      0.100           8.085                 1.27         10
      1          0               0     43.400    303.300      0.141          13.092                 1.54         20
      1          0               0     88.100    455.800      0.488          17.154                 1.76         30
      1          0               0     78.700    625.500      0.594          22.084                 1.83         40
      1          0               0     74.800    722.700      0.838          26.336                 1.91         50
      1          0               0     43.600    789.600      0.724          26.018                 2.32         60
      1          0               0     81.500    316.700      0.121           9.243                 1.09         10
      1          0               0    114.600    475.700      0.352          15.729                 1.28         20
      1          0               0     71.900    469.300      0.322          22.253                 1.36         30
      1          0               0     65.700    576.400      0.476          23.134                 1.74         40
      1          0               0     91.100    813.300      1.123          24.490                 2.05         50
      1          0               0     74.100    798.200      1.256          27.486                  2.2         60
      1          0               0     92.800    343.200      0.137           8.792                 1.15         10
      1          0               0    104.600    620.000      0.312          16.880                 1.19         20
      1          0               0     89.800    552.000      0.430          18.682                 1.62         30
      1          0               0     90.800    629.400      0.636          22.769                 1.77         40
      1          0               0     81.200    927.300      0.952          21.921                  2.3         50
      1          0               0     69.100    863.400      1.284          22.948                 2.63         60
      1          0               0     61.500    268.900      0.092           8.163                 1.24         10
      1          0               0     69.000    389.500      0.209          14.554                 1.39         20
      1          0               0     83.600    480.000      0.405          18.977                 1.59         30
