success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     68.100    273.800      0.311           7.818                 1.32         10
      1          0               0     91.400    603.100      0.882          15.071                 1.34         20
      1          0               0     98.000    822.800      1.710          20.948                 1.45         30
      1          0               0     74.000    750.200      2.580          23.299                 1.73         40
      1          0               0     81.300    829.000      6.509          24.724                 2.04         50
      1          0               0     75.900    657.000      8.709          24.752                 2.44         60
      1          0               0     73.700    328.200      0.296           8.631                 1.18         10
      1          0               0   1043.100   4384.800     12.663          13.039                 1.54         20
      1          0               0     53.200    424.400      1.231          17.030                 1.77         30
      1          0               0     75.600    682.700      2.827          21.963                 1.84         40
      1          0               0     79.600    883.900      4.930          24.118                 2.09         50
      1          0               0     62.000    918.000      5.674          26.315                 2.32         60
      1          0               0     40.400    170.600      0.163           8.413                  1.2         10
      1          0               0     71.800    350.900      0.621          15.720                 1.28         20
      1          0               0     92.300    722.200      1.463          19.152                 1.57         30
      1          0               0    107.800    557.600      2.628          23.372                 1.72         40
      1          0               0     80.800    762.800      4.598          23.178                 2.17         50
      1          0               0     71.700    759.700      9.189          23.870                 2.53         60
      1          0               0     73.600    198.800      0.306           8.364                  1.2         10
      1          0               0    107.900    463.800      1.172          13.061                 1.55         20
      1          0               0     68.100    481.100      1.382          17.361                 1.74         30
      1          0               0     80.100    615.000      3.133          18.783                 2.14         40
      1          0               0     91.700    737.900      6.614          23.571                 2.13         50
      1          0               0     47.400    610.700      3.656          26.513                 2.27         60
      1          0               0    103.000    303.000      0.408           9.227                 1.09         10
      1          0               0     88.500    472.400      0.839          15.071                 1.34         20
      1          0               0    121.300    780.700      2.074          20.620                 1.47         30
      1          0               0    134.600   1033.900      3.562          23.522                 1.73         40
      1          0               0     87.300    978.300      4.757          24.477                  2.1         50
      1          0               0     76.100    918.200      8.644          24.072                 2.52         60
      1          0               0     83.700    221.900      0.324           9.552                 1.05         10
      1          0               0     99.700    430.700      0.867          16.828                 1.19         20
      0          0               0   2000.000  60000.000     28.560          22.016                 1.36         30
      1          0               0    135.700    998.700      3.252          24.363                 1.65         40
      1          0               0    125.500   1187.400      5.115          25.698                 1.96         50
      1          0               0    129.900   1756.000     11.441          25.662                 2.35         60
      1          0               0     97.500    278.800      0.390           9.085                 1.11         10
      1          0               0     60.700    277.300      0.672          14.125                 1.44         20
      1          0               0     87.000    525.800      1.619          19.215                 1.57         30
      1          0               0     63.900    742.700      3.174          22.820                 1.76         40
      1          0               0     56.000    659.500      5.272          26.404                  1.9         50
      1          0               0     45.800    726.100      6.122          26.476                 2.27         60
      1          0               0    117.600    341.100      0.504           7.786                  1.3         10
      1          0               0     44.500    319.900      0.468          13.701                 1.47         20
      1          0               0     96.600    513.600      2.349          17.208                 1.75         30
      1          0               0     47.000    564.300      1.829          20.830                 1.94         40
      1          0               0     74.500    757.200      4.512          25.997                 1.94         50
      1          0               0     56.600    932.400      5.720          25.345                 2.38         60
      1          0               0     77.500    298.300      0.315           9.280                 1.09         10
      1          0               0     58.300    310.400      0.627          15.024                 1.36         20
      1          0               0     89.700    464.300      1.359          22.711                 1.33         30
      1          0               0     89.600    670.300      2.784          23.157                 1.73         40
      1          0               0     94.100    937.200      6.653          24.810                 2.02         50
      1          0               0     53.300    882.900      4.823          26.492                 2.28         60
      1          0               0     88.600    401.300      0.361           8.529                 1.18         10
      1          0               0     61.400    459.100      0.592          15.197                 1.33         20
      1          0               0     93.300    433.000      1.561          18.773                  1.6         30
      1          0               0     84.300    785.000      2.444          22.512                 1.79         40
      1          0               0     85.400    845.000      4.788          21.965                 2.29         50
      1          0               0     80.200   1217.400      9.264          22.288                 2.71         60
      1          0               0     97.400    335.800      0.410           7.862                 1.29         10
      1          0               0     87.000    409.000      0.844          14.270                 1.41         20
      1          0               0    115.300   1006.900      2.033          18.127                 1.67         30
      1          0               0    115.600   1206.100      3.410          21.905                 1.84         40
      1          0               0     98.800   1085.100      5.034          22.927                 2.19         50
      1          0               0     76.200    966.100      6.105          25.484                 2.37         60
      1          0               0    116.900    446.900      0.487           8.547                 1.19         10
      1          0               0    110.800    753.900      1.035          15.969                 1.26         20
      1          0               0    115.100    797.400      1.585          24.721                 1.22         30
      0          0               0   2000.000  80000.000     37.358          29.897                 1.34         40
      0          0               0   2000.000 100000.000     62.715          31.156                 1.61         50
      0          0               0   2000.000 120000.000     86.504          35.151                 1.71         60
      1          0               0    113.100    355.200      0.451           9.266                 1.09         10
      1          0               0    136.300    657.500      1.173          17.536                 1.15         20
      1          0               0     58.900    411.300      0.973          22.229                 1.36         30
      1          0               0    104.900    783.600      2.801          25.169                 1.61         40
      1          0               0     79.100    614.400      3.938          25.360                 1.99         50
      1          0               0     71.900    754.000      5.121          28.246                 2.16         60
      1          0               0    116.300    281.700      0.493           8.536                 1.18         10
      1          0               0    138.000    476.200      1.241          16.887                 1.19         20
      1          0               0    132.500    600.300      2.205          19.838                 1.52         30
      1          0               0    105.400    797.500      3.269          22.599                 1.79         40
      1          0               0     79.900    688.000      4.822          23.975                 2.13         50
      1          0               0     88.100    784.700      8.670          23.898                 2.56         60
      1          0               0     47.900    130.100      0.213           8.879                 1.16         10
      1          0               0     41.700    290.400      0.394          16.204                 1.24         20
      1          0               0    105.900    569.300      1.561          22.317                 1.35         30
      1          0               0     65.200    650.600      1.731          27.201                 1.49         40
      1          0               0     56.100    720.000      2.441          26.827                 1.91         50
      1          0               0     66.000    836.400      4.171          27.985                 2.18         60
      1          0               0    116.100    265.100      0.460           9.442                 1.07         10
      1          0               0     82.000    403.700      0.762          17.066                  1.2         20
      1          0               0     64.400    493.100      1.073          21.612                 1.41         30
      1          0               0    113.600    914.200      3.161          25.701                 1.57         40
      1          0               0    131.100   1156.600      5.009          29.135                 1.73         50
      1          0               0     46.200    717.200      2.950          28.574                 2.11         60
      1          0               0     59.400    175.700      0.235           8.985                 1.13         10
      1          0               0     88.200    488.100      0.804          15.217                 1.32         20
      1          0               0    137.700    658.000      2.058          20.744                 1.45         30
      1          0               0     73.200    634.500      1.729          25.112                 1.61         40
      1          0               0    105.400    781.800      3.134          31.853                 1.58         50
      1          0               0     95.700    848.100      4.396          30.193                 1.99         60
      1          0               0     49.100    194.400      0.237           8.399                 1.21         10
      1          0               0     66.400    541.500      0.725          13.369                 1.51         20
      1          0               0     90.100    670.800      1.508          18.779                 1.61         30
      1          0               0    102.000    797.600      3.344          22.220                 1.82         40
      1          0               0     86.300    901.000      5.283          25.133                  2.0         50
      1          0               0     76.100    958.100      6.365          28.028                 2.17         60
      1          0               0     63.700    221.300      0.273           8.221                 1.23         10
      1          0               0    113.000    478.100      0.972          17.935                 1.12         20
      1          0               0     56.200    490.500      0.843          24.377                 1.24         30
      1          0               0     87.100    749.300      1.907          29.815                 1.35         40
      1          0               0     76.700   1044.700      2.706          29.930                 1.69         50
      1          0               0     88.900    966.200      4.978          28.067                 2.15         60
      1          0               0     85.900    175.400      0.345           9.251                 1.09         10
      1          0               0     61.300    341.600      0.552          15.945                 1.26         20
      1          0               0    118.100    597.600      1.719          23.124                 1.31         30
      1          0               0    116.000    750.800      2.886          27.039                 1.49         40
      1          0               0     85.300    845.500      3.849          28.701                 1.75         50
      1          0               0     81.300   1155.200      7.063          29.582                 2.04         60
      1          0               0     78.600    228.300      0.311           9.019                 1.12         10
      1          0               0     75.700    404.400      0.711          15.428                 1.31         20
      1          0               0    131.000    868.500      2.099          21.135                 1.43         30
      1          0               0    115.500    965.100      3.707          24.571                 1.64         40
      1          0               0     71.200    802.500      3.069          29.992                  1.7         50
      1          0               0    102.300    867.900      6.606          33.733                  1.8         60
      1          0               0     65.100    260.000      0.267           8.783                 1.16         10
      1          0               0     65.700    373.100      0.613          16.009                 1.25         20
      1          0               0     84.600    491.900      1.318          21.330                 1.41         30
      1          0               0     48.400    555.100      1.462          22.248                 1.82         40
      1          0               0     89.400    876.400      4.939          22.268                 2.27         50
      1          0               0     64.800    859.600      8.437          22.451                  2.7         60
      1          0               0     77.900    208.500      0.301           9.411                 1.07         10
      1          0               0     79.200    605.800      0.767          15.381                 1.32         20
      1          0               0    104.000    829.100      1.956          20.682                 1.47         30
      1          0               0     89.800    866.000      3.207          22.794                 1.77         40
      1          0               0     87.300    819.800      5.430          20.998                  2.4         50
      1          0               0     84.300   1007.400      8.784          22.668                 2.66         60
      1          0               0     69.300    318.500      0.309           7.694                 1.32         10
      1          0               0     96.500    522.000      0.938          13.876                 1.46         20
      1          0               0    110.400    649.400      1.968          19.412                 1.56         30
      1          0               0     65.200    749.800      1.806          23.044                 1.74         40
      1          0               0     57.200    760.400      2.929          25.874                 1.95         50
      1          0               0    117.400    991.700      9.146          28.836                 2.09         60
      1          0               0     71.200    227.200      0.280           8.919                 1.14         10
      1          0               0     62.800    526.300      0.572          16.527                 1.23         20
      1          0               0    114.800    688.000      2.111          18.039                 1.67         30
      1          0               0     79.800    814.300      2.594          22.594                 1.78         40
      1          0               0     68.200    920.600      2.583          28.145                 1.79         50
      1          0               0     77.500    942.100      4.745          28.632                  2.1         60
      1          0               0    175.400    329.300      0.695           8.765                 1.15         10
      1          0               0     60.600    353.900      0.587          15.162                 1.33         20
      1          0               0     78.100    633.200      1.239          21.554                  1.4         30
      1          0               0     77.900    773.600      1.914          26.144                 1.54         40
      1          0               0     84.900    912.500      3.106          30.781                 1.63         50
      1          0               0     75.700   1319.400      5.307          29.889                 2.02         60
      1          0               0     83.200    368.400      0.335           9.228                 1.09         10
      1          0               0     84.500    518.900      0.930          14.490                 1.39         20
      1          0               0     97.900    655.500      1.873          18.437                 1.63         30
      1          0               0     92.700    879.800      3.736          18.214                 2.21         40
      1          0               0     79.500    999.900      9.565          19.670                 2.56         50
      1          0               0     86.100   1364.100     13.110          22.592                 2.67         60
      1          0               0     49.000    148.800      0.198           8.996                 1.12         10
      1          0               0     50.000    370.000      0.492          14.772                 1.36         20
      1          0               0     76.700    728.300      1.296          20.538                 1.47         30
      1          0               0    100.300   1031.500      2.599          26.050                 1.55         40
      1          0               0     87.800    975.200      4.014          25.055                 2.01         50
      1          0               0     60.200    866.800      3.851          27.028                 2.23         60
      1          0               0     50.800    126.000      0.204           9.283                 1.08         10
      1          0               0     91.800    394.400      0.881          15.633                  1.3         20
      1          0               0     76.400    499.700      1.284          22.072                 1.39         30
      1          0               0    101.800    811.500      2.655          22.155                 1.82         40
      1          0               0     88.100    986.100      4.335          22.352                 2.27         50
      1          0               0     52.800    993.700      4.076          24.172                 2.51         60
      1          0               0     24.600    139.900      0.098           8.768                 1.15         10
      1          0               0     88.000    533.800      0.898          13.668                 1.48         20
      1          0               0     80.000    550.600      2.420          17.029                 1.78         30
      1          0               0     93.300    809.400      4.010          22.167                 1.85         40
      1          0               0    115.100   1098.900      9.258          25.825                 1.96         50
      1          0               0     77.500   1202.700     13.512          23.991                 2.53         60
      1          0               0     82.500    280.600      0.323           9.261                 1.09         10
      1          0               0     49.000    347.500      0.490          15.641                 1.29         20
      1          0               0     63.500    539.300      1.469          19.518                 1.54         30
      1          0               0     90.400    805.500      4.200          23.587                  1.7         40
      1          0               0     70.100    824.400      5.812          22.820                 2.21         50
      1          0               0     91.500    985.500      8.235          26.915                 2.23         60
      1          0               0     67.900    252.200      0.292           7.910                  1.3         10
      1          0               0     57.200    336.400      0.608          13.476                  1.5         20
      1          0               0    102.100    726.200      1.724          18.138                 1.67         30
      1          0               0     74.500    591.300      1.848          21.850                 1.85         40
      1          0               0    115.800   1036.800      4.626          24.171                 2.08         50
      1          0               0     56.700    830.600      3.691          27.155                 2.22         60
      1          0               0     20.700     65.200      0.084           9.043                 1.12         10
      1          0               0     95.800    227.200      0.839          16.015                 1.25         20
      1          0               0     32.800    259.400      0.522          22.500                 1.34         30
      1          0               0     85.600    700.100      1.912          26.514                 1.52         40
      1          0               0     62.900    928.500      2.451          27.948                 1.79         50
      1          0               0     69.600   1009.500      4.598          29.872                 2.03         60
      1          0               0     56.300    185.700      0.224           8.865                 1.13         10
      1          0               0     55.200    416.100      0.631          13.750                 1.47         20
      1          0               0     82.400    509.200      1.239          20.591                 1.47         30
      1          0               0     81.800    693.400      1.842          26.434                 1.52         40
      1          0               0    107.500    607.700      3.291          29.357                 1.71         50
      1          0               0    121.400   1054.000      5.627          31.129                 1.93         60
      1          0               0     54.900    149.100      0.223           9.182                  1.1         10
      1          0               0     88.500    413.300      0.776          17.549                 1.15         20
      1          0               0     97.000    625.500      1.498          22.132                 1.36         30
      1          0               0    131.800   1106.800      2.885          27.959                 1.44         40
      1          0               0     85.800    939.700      3.781          28.297                 1.77         50
      1          0               0     92.300   1357.600     10.580          27.003                 2.23         60
      1          0               0     70.600    313.700      0.307           7.853                 1.28         10
      1          0               0     74.300    437.200      0.702          14.678                 1.37         20
      1          0               0     86.400    510.400      1.406          18.749                 1.62         30
      1          0               0    137.300    777.700      6.676          21.503                 1.87         40
      1          0               0     65.800    802.600      4.556          22.398                 2.25         50
      1          0               0     72.100    748.100     10.819          21.527                  2.8         60
      1          0               0     21.600    111.500      0.084           9.486                 1.06         10
      1          0               0     83.600    434.200      0.769          14.806                 1.36         20
      1          0               0     43.100    372.700      0.738          19.603                 1.55         30
      1          0               0     49.100    611.600      1.531          24.493                 1.66         40
      1          0               0     72.000    852.000      3.268          26.032                 1.93         50
      1          0               0     81.600   1046.100      5.777          26.500                 2.28         60
      1          0               0    109.100    380.600      0.423           9.442                 1.07         10
      1          0               0    130.200    592.500      1.079          18.359                  1.1         20
      1          0               0     73.200    754.300      1.152          21.505                 1.41         30
      1          0               0    104.000    956.900      3.194          22.681                 1.78         40
      1          0               0    105.600    928.100      4.862          25.699                 1.96         50
      1          0               0    109.700   1284.200      7.318          29.378                 2.05         60
      1          0               0    112.300    237.400      0.454           7.568                 1.33         10
      1          0               0    126.200    528.100      1.404          11.559                 1.75         20
      1          0               0    129.300    737.500      2.792          16.251                 1.86         30
      1          0               0    103.400    746.800      4.081          18.729                 2.18         40
      1          0               0     76.000    768.200      4.792          22.101                 2.32         50
      1          0               0    126.300   1312.300     10.737          26.232                 2.31         60
      1          0               0     79.000    347.700      0.328           8.722                 1.17         10
      1          0               0     86.500    500.900      0.716          17.573                 1.15         20
      1          0               0     98.100    671.200      1.501          21.893                 1.38         30
      1          0               0     99.400    989.800      3.145          24.920                 1.61         40
      1          0               0     79.600   1404.300      4.972          23.789                 2.12         50
      1          0               0     70.100   1298.500      7.697          27.484                 2.19         60
      1          0               0     63.500    194.600      0.257           8.883                 1.14         10
      1          0               0     64.800    406.100      0.640          15.241                 1.32         20
      1          0               0    126.900    754.300      2.166          20.559                 1.49         30
      1          0               0     98.200    963.400      2.858          23.889                 1.71         40
      1          0               0    119.200   1240.600      6.485          25.120                 2.01         50
      1          0               0     70.700   1014.200      6.637          26.973                 2.25         60
      1          0               0     95.200    269.800      0.394           8.341                 1.21         10
      1          0               0     76.600    551.300      0.680          16.409                 1.23         20
      1          0               0     87.100    544.400      1.385          21.613                 1.41         30
      1          0               0     93.400    922.200      2.562          22.276                 1.81         40
      1          0               0     59.600    824.700      3.440          23.505                 2.14         50
      1          0               0     56.200    865.100      4.611          24.475                 2.47         60
      1          0               0     64.700    195.000      0.258           9.173                 1.11         10
      1          0               0    116.700    668.900      1.115          16.573                 1.22         20
      1          0               0     45.900    441.400      1.435          18.948                 1.59         30
      1          0               0     54.800    586.000      2.727          23.613                 1.71         40
      1          0               0     87.600    664.300      4.713          29.105                 1.74         50
      1          0               0     58.200    989.600      6.132          27.237                 2.23         60
      1          0               0     68.400    253.500      0.280           8.379                  1.2         10
      1          0               0     77.200    540.900      0.754          14.940                 1.35         20
      1          0               0     95.400    722.000      1.908          18.180                 1.67         30
      1          0               0     84.700    920.600      2.803          21.489                 1.92         40
      1          0               0    100.700   1175.900      6.691          21.612                 2.35         50
      1          0               0     83.100   1699.600      9.459          22.052                 2.74         60
      1          0               0     37.400    132.600      0.143           9.206                 1.09         10
      1          0               0     60.700    320.900      0.530          16.982                 1.19         20
      1          0               0     60.800    372.000      0.945          21.201                 1.43         30
      1          0               0    115.600    786.800      2.400          26.769                 1.51         40
      1          0               0    105.700    744.200      3.516          28.479                 1.78         50
      1          0               0     96.700   1008.900      4.853          31.971                 1.91         60
      1          0               0     50.000    146.400      0.207           9.236                 1.09         10
      1          0               0     58.100    416.100      0.560          15.804                 1.27         20
      1          0               0     52.400    470.900      1.432          19.019                 1.58         30
      1          0               0     66.700    555.600      3.511          23.195                 1.73         40
      1          0               0     72.900    751.400      5.454          25.209                  2.0         50
      1          0               0     40.600    758.700      5.932          26.261                 2.31         60
      1          0               0     67.800    275.200      0.298           8.075                 1.25         10
      1          0               0     56.900    519.900      0.669          13.555                  1.5         20
      1          0               0    147.900   1318.600      3.097          20.039                  1.5         30
      1          0               0    135.000    958.700      4.351          22.924                 1.76         40
      1          0               0     65.400   1123.300      3.646          27.145                 1.86         50
      1          0               0     67.000   1495.900      5.597          27.685                 2.18         60
      1          0               0     36.000    171.200      0.154           7.950                 1.28         10
      1          0               0     95.000    538.700      0.914          14.984                 1.35         20
      1          0               0    109.400    736.100      1.565          22.474                 1.34         30
      1          0               0    133.100    892.100      2.765          26.722                 1.51         40
      1          0               0     90.100    965.600      3.090          29.176                 1.74         50
      1          0               0    127.400   1110.300      7.160          30.839                 1.96         60
      1          0               0     71.800    289.200      0.284           9.366                 1.07         10
      1          0               0     42.500    334.400      0.412          15.861                 1.28         20
      1          0               0    101.800    788.600      1.588          20.257                 1.49         30
      1          0               0     97.600    849.200      2.421          22.504                 1.79         40
      1          0               0    111.300    890.300      4.264          26.852                 1.87         50
      1          0               0    114.400   1073.800      5.855          29.552                 2.04         60
      1          0               0     77.500    337.000      0.325           8.086                 1.25         10
      1          0               0    101.500    606.400      0.929          14.435                 1.39         20
      1          0               0     86.000    800.100      1.306          21.993                 1.38         30
      1          0               0    125.800   1082.000      3.065          24.715                 1.64         40
      1          0               0     73.300    941.000      3.197          27.595                 1.83         50
      1          0               0    147.300   1338.200      8.084          31.212                 1.94         60
      1          0               0     84.700    195.600      0.338           8.361                 1.21         10
      1          0               0    103.600    683.000      0.884          15.574                 1.29         20
      1          0               0    122.300    552.900      1.783          20.531                 1.47         30
      1          0               0    101.800    924.300      2.320          25.141                  1.6         40
      1          0               0    111.400    952.000      4.158          27.656                 1.82         50
      1          0               0    122.600   1271.500      6.385          29.885                 2.02         60
      1          0               0     53.600    210.700      0.231           7.776                  1.3         10
      1          0               0     71.700    407.800      0.947          13.859                 1.45         20
      1          0               0     78.200    665.500      1.696          17.912                 1.68         30
      1          0               0    106.300    977.500      3.470          21.899                 1.83         40
      1          0               0    103.000    726.900      3.831          25.450                 1.97         50
      1          0               0    113.300   1016.300      8.613          25.871                 2.33         60
      1          0               0     66.400    224.900      0.289           7.877                  1.3         10
