success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0    196.200    469.500      0.289           9.572                 1.05         10
      1          0               0    166.100    648.200      0.489          13.952                 1.44         20
      1          0               0    168.100   1219.500      0.777          21.489                  1.4         30
      1          0               0    180.600   1294.100      1.371          24.146                 1.66         40
      1          0               0    140.300   1232.000      1.378          26.203                 1.92         50
      1          0               0    152.600   1557.700      2.408          29.509                 2.05         60
      1          0               0    187.400    438.000      0.279           9.489                 1.06         10
      1          0               0    171.800   1009.900      0.572          16.201                 1.24         20
      1          0               0    130.500    939.000      0.578          23.610                 1.28         30
      1          0               0    146.400   1550.700      0.967          25.961                 1.55         40
      1          0               0    160.900   2038.400      2.037          26.147                 1.93         50
      1          0               0    131.800   1737.700      2.155          30.774                 1.98         60
      1          0               0    161.700    538.100      0.253           7.834                  1.3         10
      1          0               0    134.000   1003.100      0.444          12.098                 1.69         20
      1          0               0    154.700   1378.800      0.787          18.226                 1.66         30
      1          0               0    154.900   1879.200      1.187          22.019                 1.83         40
      1          0               0    157.500   1661.200      1.764          26.655                 1.88         50
      1          0               0    164.900   2079.000      3.222          27.847                 2.16         60
      1          0               0    195.300    666.100      0.310           8.684                 1.16         10
      1          0               0    193.300   1134.500      0.632          14.299                 1.42         20
      1          0               0    130.800    967.600      0.631          21.518                 1.41         30
      1          0               0    154.800    910.700      1.106          27.139                 1.48         40
      1          0               0    100.300    932.300      0.984          31.386                  1.6         50
      1          0               0    159.200   1615.600      2.404          34.141                 1.77         60
      1          0               0    164.600    527.100      0.280           7.308                 1.41         10
      1          0               0    221.400    990.500      0.729          15.189                 1.33         20
      1          0               0    122.900    895.800      0.570          22.610                 1.33         30
      1          0               0    165.100   1435.100      1.023          30.753                 1.31         40
      1          0               0    141.700   1575.800      1.262          34.193                 1.48         50
      1          0               0    145.700   1570.900      1.782          36.193                 1.67         60
      1          0               0    114.000    496.600      0.179           9.204                 1.09         10
      1          0               0    112.800    744.900      0.366          15.828                 1.27         20
      1          0               0    183.700   1748.800      0.898          22.905                 1.31         30
      1          0               0    166.100   1694.600      1.107          27.114                 1.48         40
      1          0               0    155.200   1696.400      1.647          29.338                 1.71         50
      1          0               0    192.800   2717.800      3.344          31.554                 1.91         60
      1          0               0    193.700    712.900      0.324           8.311                 1.23         10
      1          0               0    128.100    920.200      0.439          14.617                 1.39         20
      1          0               0    164.500   1512.500      0.842          20.831                 1.45         30
      1          0               0    207.400   1832.400      1.434          26.326                 1.53         40
      1          0               0    132.000   1379.100      1.560          28.263                 1.78         50
      1          0               0    160.000   1893.200      3.697          29.640                 2.03         60
      1          0               0    134.000    317.700      0.215           8.640                 1.17         10
      1          0               0    185.600   1078.600      0.605          17.100                 1.19         20
      1          0               0    168.000   1056.900      0.863          21.566                 1.41         30
      1          0               0     98.600    811.100      0.749          25.925                 1.55         40
      1          0               0    145.300   1418.200      1.537          27.053                 1.87         50
      1          0               0    310.900   2198.100      4.768          28.518                 2.11         60
      1          0               0    173.700    399.800      0.275           7.707                 1.31         10
      0          0               1     28.100    562.000      0.092          15.637                 1.29         20
      1          0               0    113.900   1114.800      0.609          18.421                 1.64         30
      1          0               0    144.900   1780.500      1.189          22.671                 1.77         40
      1          0               0    112.100   1640.500      1.557          24.698                 2.03         50
      1          0               0    112.000   1844.000      2.162          24.288                 2.49         60
      1          0               0    113.500    457.100      0.178           9.066                 1.11         10
      1          0               0    113.600    609.500      0.373          16.257                 1.24         20
      1          0               0    168.300   1073.800      0.918          21.380                 1.41         30
      1          0               0    136.100    990.200      1.178          22.640                 1.78         40
      1          0               0    155.600   1689.400      1.835          24.286                 2.07         50
      1          0               0    182.200   1656.900      3.265          25.636                 2.35         60
      1          0               0    196.000    551.900      0.312           7.978                 1.26         10
      1          0               0    151.800    944.400      0.492          13.440                  1.5         20
      1          0               0    274.100   1830.600      1.398          17.568                 1.72         30
      1          0               0    131.600   1294.800      1.179          22.163                 1.82         40
      1          0               0    115.200   1373.400      1.454          24.137                 2.08         50
      1          0               0    190.400   1916.000      3.296          25.403                 2.37         60
      1          0               0    126.000    564.400      0.309           8.133                 1.24         10
      1          0               0    156.500    679.700      0.890          13.785                 1.46         20
      1          0               0    296.300   1743.500      1.616          20.842                 1.45         30
      1          0               0    214.600   2237.000      1.855          28.026                 1.43         40
      1          0               0    192.200   2017.300      2.133          28.289                 1.78         50
      1          0               0    209.100   2150.100      3.351          31.886                  1.9         60
      1          0               0    184.900    497.400      0.289           9.690                 1.03         10
      1          0               0    148.000   1193.200      0.489          15.242                 1.32         20
      1          0               0    139.200   1811.400      0.773          19.722                 1.53         30
      0          0               0   2000.000  80000.000     17.474          26.884                 1.49         40
      0          0               0   2000.000 100000.000     24.007          29.844                 1.68         50
      1          0               0    135.500   2074.200      2.414          28.860                 2.09         60
      1          0               0    179.900    728.100      0.302           8.600                 1.17         10
      1          0               0    103.500    509.400      0.357          14.369                  1.4         20
      1          0               0    227.600   1653.200      1.149          23.321                 1.29         30
