success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0     77.800    400.000      0.136           8.181                 1.27         10
      1          0               0    219.200   2087.600      0.769          11.206                 1.83         20
      1          0               0     90.900   1405.500      0.460          18.162                 1.71         30
      0          0               0   2000.000  80000.000     12.600          22.950                 1.75         40
      1          0               0    786.700   6164.500      7.669          24.333                 2.08         50
      0          0               0   2000.000 120000.000     25.212          30.355                  2.0         60
      1          0               0     64.300    324.100      0.115           9.064                 1.11         10
      1          0               0    113.400    893.600      0.349          13.901                 1.47         20
      0          0               0   2000.000  60000.000     10.095          23.581                 1.28         30
      0          0               0   2000.000  80000.000     21.217          27.189                 1.49         40
      0          0               0   2000.000 100000.000     28.269          27.584                 1.83         50
      0          0               0   2000.000 120000.000     25.100          32.208                 1.89         60
      0          0               0   2000.000  20000.000      4.003           6.858                 1.46         10
      0          0               0   2000.000  40000.000     10.735           9.869                 2.03         20
      0          0               0   2000.000  60000.000     16.876          18.594                 1.62         30
      1          0               0    362.900   3520.300      3.632          20.517                 1.97         40
      0          0               0   2000.000 100000.000     35.841          26.143                 1.92         50
      0          0               0   2000.000 120000.000     30.450          29.217                 2.09         60
      1          0               0     55.100    351.800      0.085           8.933                 1.12         10
      1          0               0     58.600    765.200      0.224          14.166                 1.45         20
      1          0               0    148.200   1953.400      0.818          19.907                 1.57         30
      1          0               0    159.600   2489.700      1.135          23.503                 1.76         40
      1          0               0    824.200   8019.700      7.926          29.417                 1.75         50
      0          0               1     57.100   3426.000      0.849          20.462                 3.03         60
      1          0               0     44.700    326.500      0.070           8.805                 1.14         10
      1          0               0    247.200   1348.400      0.769          14.792                 1.36         20
      1          0               0    253.600   1795.900      1.272          21.541                 1.41         30
      0          0               1     12.900    516.000      0.086          21.729                 1.89         40
      1          0               0    290.400   4355.500      2.642          29.158                 1.82         50
      0          0               0   2000.000 120000.000     35.254          36.181                 1.69         60
      1          0               0     78.300    450.200      0.125           8.398                 1.22         10
      1          0               0    229.700   1966.400      0.790          13.579                  1.5         20
      1          0               0    227.500   2491.800      1.203          21.708                 1.41         30
      0          0               0   2000.000  80000.000     12.124          28.510                 1.42         40
      0          0               0   2000.000 100000.000     17.289          29.519                 1.71         50
      1          0               0   1136.400  11068.700     14.378          30.297                 2.02         60
      1          0               0     73.400    385.900      0.122           7.857                  1.3         10
      0          0               1     13.700    274.000      0.047          12.285                 1.69         20
      0          0               1     13.700    411.000      0.075          17.219                 1.79         30
      0          0               1      2.700    108.000      0.018          25.148                 1.72         40
      0          0               1      2.700    135.000      0.025          27.778                 1.94         50
      0          0               1      2.700    162.000      0.029          30.704                 2.11         60
      1          0               0    166.100    653.400      0.271           8.550                 1.19         10
      0          0               1     18.300    366.000      0.058          14.934                 1.36         20
      0          0               1     41.200   1236.000      0.231          15.864                 1.95         30
      0          0               0   2000.000  80000.000     13.061          26.695                 1.51         40
      1          0               0    236.100   4122.700      2.208          25.823                  2.0         50
      0          0               0   2000.000 120000.000     35.444          28.270                 2.14         60
      0          0               0   2000.000  20000.000      5.092           6.053                 1.66         10
      0          0               1     12.500    250.000      0.057          17.096                  1.2         20
      0          0               1     12.500    375.000      0.109          20.648                 1.48         30
      0          0               1     12.500    500.000      0.147          24.912                 1.65         40
      0          0               1     12.500    625.000      0.172          24.056                 2.14         50
      0          0               1     12.500    750.000      0.235          23.616                 2.61         60
      1          0               0     75.500    450.000      0.206           8.854                 1.15         10
      0          0               0   2000.000  40000.000     10.064          16.893                 1.19         20
      1          0               0    133.400   1843.400      1.299          16.830                 1.84         30
      0          0               0   2000.000  80000.000     25.303          21.775                 1.85         40
      1          0               0    658.600   7577.200     11.554          23.841                 2.13         50
      0          0               0   2000.000 120000.000     44.583          25.772                 2.34         60
      1          0               0     67.200    367.800      0.172           8.420                 1.19         10
      0          0               0   2000.000  40000.000     10.321          12.940                 1.55         20
      0          0               0   2000.000  60000.000     18.989          16.022                 1.87         30
      0          0               0   2000.000  80000.000     24.232          23.814                 1.69         40
      0          0               0   2000.000 100000.000     32.811          22.815                  2.2         50
      0          0               0   2000.000 120000.000     43.208          25.732                 2.34         60
      1          0               0     63.200    454.500      0.166           8.957                 1.13         10
      1          0               0     83.600   1054.900      0.599          13.425                 1.54         20
      0          0               0   2000.000  60000.000     17.393          19.719                 1.53         30
      0          0               0   2000.000  80000.000     15.766          28.434                 1.42         40
