success  collision  collision_obst   makespan   flowtime    runtime     mean_groups     mean_groups_size     number
      1          0               0    162.800    849.600      0.204           9.088                 1.11         10
      1          0               0    248.400   1028.800      0.626          18.643                 1.07         20
      1          0               0    284.600   1488.300      1.088          27.256                  1.1         30
      1          0               0   1244.000   6934.200      6.458          34.937                 1.15         40
      1          0               0    277.300   2005.200      1.831          43.105                 1.16         50
      1          0               0    270.200   2804.800      2.468          44.799                 1.34         60
      1          0               0    325.600    744.700      0.441           9.768                 1.03         10
      1          0               0    133.900    652.200      0.357          18.543                 1.08         20
      1          0               0    238.300   1062.200      0.935          27.986                 1.07         30
      1          0               0    159.200   1115.400      0.839          36.381                  1.1         40
      1          0               0    160.300   2147.200      1.147          42.147                 1.19         50
      1          0               0    220.400   2583.400      2.535          48.571                 1.24         60
      1          0               0     93.100    405.400      0.126           9.149                 1.11         10
      1          0               0    175.700   1284.600      0.486          18.384                  1.1         20
      1          0               0    269.900   2461.700      1.182          25.401                  1.2         30
      1          0               0    285.900   1670.600      1.544          35.638                 1.13         40
      1          0               0    322.900   3118.500      2.336          44.336                 1.13         50
      1          0               0    233.400   2368.000      1.921          51.009                 1.18         60
      1          0               0    348.400    656.600      0.460           9.728                 1.03         10
      1          0               0    285.900   1159.200      0.778          19.280                 1.04         20
      1          0               0    309.600   1360.800      1.288          27.563                  1.1         30
      1          0               0    291.600   2014.200      1.596          34.358                 1.17         40
      1          0               0    393.200   3623.600      2.719          44.334                 1.13         50
      1          0               0    324.200   2469.600      2.833          50.150                  1.2         60
      1          0               0    167.100    656.100      0.219           9.442                 1.07         10
      1          0               0     68.300    496.900      0.193          16.520                 1.22         20
      1          0               0    277.500   1858.700      1.187          23.672                 1.27         30
      1          0               0    290.700   2097.400      1.634          32.508                 1.23         40
      1          0               0    222.900   1858.800      1.602          37.906                 1.32         50
      1          0               0    252.400   2694.100      2.278          44.708                 1.34         60
      1          0               0    379.000   1271.200      0.540           9.622                 1.04         10
      1          0               0    327.600   1892.700      0.928          19.061                 1.05         20
      1          0               0    292.300   2199.300      1.246          25.443                 1.18         30
      1          0               0    309.400   3121.900      1.815          31.946                 1.26         40
      1          0               0    322.800   3382.500      2.406          40.143                 1.25         50
      1          0               0    299.800   3867.000      2.714          47.306                 1.27         60
      1          0               0    233.600    566.100      0.318           8.976                 1.12         10
      1          0               0    247.100    953.500      0.669          17.514                 1.15         20
      1          0               0    227.100   1374.000      0.912          26.216                 1.15         30
      1          0               0    348.600   2958.800      1.999          31.865                 1.26         40
      1          0               0    326.600   3235.100      2.413          38.056                 1.32         50
      1          0               0    301.300   3241.800      2.626          45.106                 1.33         60
      1          0               0    186.800    963.500      0.263           8.078                 1.28         10
      1          0               0    225.700   1691.000      0.651          16.308                 1.24         20
      1          0               0    285.300   2219.200      1.253          24.286                 1.24         30
      1          0               0    293.700   2539.100      1.689          33.879                 1.18         40
      1          0               0    266.100   3721.000      2.003          39.786                 1.26         50
      1          0               0    277.300   3976.800      2.424          48.731                 1.23         60
      1          0               0    210.800    792.000      0.297           9.148                  1.1         10
      1          0               0    283.000   2367.500      0.824          16.804                  1.2         20
      1          0               0    324.700   2134.000      1.366          25.143                  1.2         30
      1          0               0    247.800   2581.700      1.407          31.143                 1.29         40
      1          0               0    323.600   3995.500      2.330          37.931                 1.32         50
      1          0               0    329.800   5200.100      3.871          45.159                 1.33         60
      1          0               0    216.400    806.400      0.292           9.644                 1.04         10
      1          0               0    299.400   1372.900      0.792          19.454                 1.03         20
      1          0               0    433.100   2426.800      1.720          28.077                 1.07         30
      1          0               0    293.400   2422.900      1.543          37.440                 1.07         40
      1          0               0    437.000   4882.800      2.990          45.055                 1.11         50
      1          0               0    462.700   5396.600      4.111          49.678                 1.21         60
      1          0               0    184.800    531.000      0.247           9.624                 1.04         10
      1          0               0    203.100    797.600      0.547          19.073                 1.05         20
      1          0               0    216.800   1149.600      0.878          27.630                 1.09         30
      1          0               0    354.100   1758.300      1.887          36.893                 1.09         40
      1          0               0    347.200   4450.500      2.408          44.265                 1.13         50
      1          0               0    364.900   5518.500      3.155          52.128                 1.15         60
      1          0               0    209.900    985.700      0.278           9.456                 1.06         10
      1          0               0    265.000   2254.600      0.734          17.446                 1.15         20
      1          0               0    252.800   2014.200      1.031          26.021                 1.16         30
      1          0               0    153.900   1447.300      0.819          35.287                 1.14         40
      1          0               0    279.700   2018.500      1.896          44.114                 1.14         50
      1          0               0    241.700   2494.100      2.097          52.256                 1.15         60
      1          0               0    304.100    803.100      0.414           8.852                 1.13         10
      1          0               0    347.500   2364.100      0.982          17.243                 1.16         20
      1          0               0    345.300   3472.600      1.473          24.928                 1.21         30
      1          0               0    363.700   4453.000      2.035          33.431                  1.2         40
      1          0               0    324.200   2677.400      2.243          40.004                 1.25         50
      1          0               0    318.000   3035.400      2.797          48.590                 1.24         60
      1          0               0    102.500    477.400      0.137           8.320                 1.22         10
      1          0               0    193.900    789.300      0.538          17.688                 1.13         20
      1          0               0    471.600   2158.300      1.976          25.430                 1.18         30
      1          0               0    244.900   1313.300      1.382          33.183                 1.21         40
      1          0               0    140.200   1298.200      1.023          40.479                 1.25         50
      1          0               0    287.600   2554.800      2.555          50.648                 1.19         60
      1          0               0    232.300   1298.500      0.324           8.849                 1.14         10
      1          0               0    294.400   1595.800      0.824          17.112                 1.18         20
      1          0               0    410.200   3293.400      1.706          25.408                 1.19         30
      1          0               0    386.200   3498.900      2.186          31.933                 1.26         40
      1          0               0    240.300   2691.100      1.750          40.240                 1.26         50
      1          0               0    311.100   4822.500      2.813          44.733                 1.35         60
      1          0               0    231.800    851.200      0.307           9.598                 1.05         10
      1          0               0    144.800   1079.300      0.399          18.090                 1.11         20
